Year,JerseyNum,Name,Position,Height,Weight,Major,Class,HomeTownHighSchool
2022,10,Aubrey Tanner,S/OPP,6-2,,Psychology,Fr.,"Sierra Madre, Calif. / Walnut HS"
2022,11,Dani Mason,MB/OPP,6-1,,Cognitive Behavioral Neuroscience,Sr.,"Las Vegas, Nev. / The Meadows School"
2022,12,Kayla Uhlick,L,5-6,,Business Economics,Fr.,"Riverside, Calif. / Poly HS"
2022,15,Jasmine Saran,MB,6-3,,General Biology,Fr.,"Temecula, Calif. / Great Oak HS"
2022,16,Izzi Strand,S,6-1,,International Business,Jr.,"Danville, Calif. / Monte Vista"
2022,17,Emily McDaniel,MB,6-4,,Public Health Medicine,So.,"Anaheim, Calif. / Canyon HS"
2022,20,Gabby Quach,S,5-9,,,So.,"San Francisco, Calif. / Lowell HS"
2022,23,Natalie Repetti,L,5-10,,Cognitive Science,Jr.,"Cypress, Calif. / Cypress HS"
2022,33,Zaria Henderson,OH,5-10,,Psychology,So.,"Fullerton, Calif. / Mater Dei HS"
2023,0,Izabella Santa Cruz,S,5-10,,International Business,R-So.,"Rancho Cucamonga, Calif. / Los Osos HS"
2023,1,Dana Branavets,L,5-11,,Human Developmental Sciences,So.,"San Diego, Calif. / Del Norte HS"
2023,3,Juliette Bokor,MB,6-1,,Molecular & Cell Biology,Jr.,"Fountain Valley, Calif. / Fountain Valley HS"
2023,4,Ava McInnes,OH,6-2,,Public Health,Jr.,"Tustin, Calif. / Tustin HS"
2023,5,Sabire Karacaova,OH,5-10,,International Studies- Intl. Business,Jr.,"Istanbul, Turkey / TED Istanbul College"
2023,7,Reagan Dryden,OH,6-0,,Human Biology,So.,"Los Gatos, Calif. / Archbishop Mitty HS"
2023,8,Katie Rapp,OH,6-0,,Political Science,So.,"Rancho Mirage, Calif. / Palm Desert HS"
2023,9,Shara Da Silva,MB,6-1,,Psychology,Sr.,"Goiânia, Goiás, Brazil / Gateway Legacy Christian Academy"
2023,10,Aubrey Tanner,S/OPP,6-2,,Psychology,So.,"Sierra Madre, Calif. / Walnut HS"
2023,12,Kayla Uhlick,L,5-6,,Business Economics,So.,"Riverside, Calif. / Poly HS"
2023,14,Nevada Knowles,S,6-0,,International Business,Jr.,"Ventura, Calif. / Ventura HS"
2023,15,Jasmine Saran,MB,6-3,,General Biology,So.,"Temecula, Calif. / Great Oak HS"
2023,17,Emily McDaniel,MB,6-4,,Public Health Medicine,Jr.,"Anaheim, Calif. / Canyon HS"
2023,20,Iris Canko,L,5-5,,Political Science,Fr.,"Temecula, Calif. / Great Oak HS"
2023,21,Reagan McWhinney,OH,6-0,,Real Estate and Development,Fr.,"Loveland, Colo. / Resurrection Christian School"
2023,23,Natalie Repetti,L,5-10,,Cognitive Science,Sr.,"Cypress, Calif. / Cypress HS"
2023,24,Lauren Brooker,S/OPP,6-1,,Undeclared,Fr.,"Calabasas, Calif. / Marymount HS"
2023,33,Zaria Henderson,OH,5-10,,Psychology,Jr.,"Fullerton, Calif. / Mater Dei HS"
2024,0,Izabella Santa Cruz,S,5-10,,International Business,R-So.,"Rancho Cucamonga, Calif. / Los Osos HS"
2024,1,Dana Branavets,L,5-11,,Human Developmental Sciences,So.,"San Diego, Calif. / Del Norte HS"
2024,3,Juliette Bokor,MB,6-1,,Molecular & Cell Biology,Jr.,"Fountain Valley, Calif. / Fountain Valley HS"
2024,4,Ava McInnes,OH,6-2,,Public Health,Jr.,"Tustin, Calif. / Tustin HS"
2024,5,Sabire Karacaova,OH,5-10,,International Studies- Intl. Business,Jr.,"Istanbul, Turkey / TED Istanbul College"
2024,7,Reagan Dryden,OH,6-0,,Human Biology,So.,"Los Gatos, Calif. / Archbishop Mitty HS"
2024,8,Katie Rapp,OH,6-0,,Political Science,So.,"Rancho Mirage, Calif. / Palm Desert HS"
2024,9,Shara Da Silva,MB,6-1,,Psychology,Sr.,"Goiânia, Goiás, Brazil / Gateway Legacy Christian Academy"
