Year,JerseyNum,Name,Position,Height,Weight,Major,Class,HomeTownHighSchool
2016,6,Cole Martinez,UTL,5-11,,,So.,"San Diego, CA / La Jolla HS"
2016,7,Nassim Hmeidan,UTL,6-3,,,Sr.,"Agoura Hills, CA / Agoura HS"
2016,8,Rich Farley,UTL,6-1,,,Jr.,"Vista, CA / Carlsbad HS"
2016,9,Kevin Asplund,UTL,6-3,,,So.,"San Jose, CA / Leland HS"
2016,10,Arman Momdzhyan,UTL,6-6,,,Jr.,"Glendale, CA / Anderson W. Clark Magnet HS"
2016,11,Luka Vasiljevic,UTL,5-11,,,R-Fr.,"Mission Viejo, CA / Mission Viejo HS"
2016,12,Andreas Stathatos,UTL,6-4,,,So.,"San Diego, CA / Mt. Carmel HS"
2016,13,Carson Ivancovich,UTL,6-4,,,So.,"Fresno, CA / Clovis North HS"
2016,14,Cooper Milton,UTL,6-0,,,Fr.,"San Diego, CA / Cathedral Catholic HS"
2016,15,David Albers,UTL,6-0,,,Fr.,"Riverside, CA / The Webb Schools"
2016,16,Noah Carniglia,UTL,6-4,,,Fr.,"Lodi, CA / Lodi HS"
2016,17,Skyler Munatones,UTL,5-10,,,Fr.,"Huntington Beach, CA / Huntington Beach HS"
2016,19,Collin Sullivan,UTL,6-1,,,So.,"Escondido, CA / San Pasqual HS"
2016,21,Andy Moore,UTL,5-11,,,Sr.,"Agoura Hills, CA / Agoura HS"
2016,22,Nick Alexander,UTL,6-1,,,Sr.,"Clovis, CA / Clovis HS"
2016,,Perry Brandes,UTL,6-2,,,Fr.,"Alpharetta, GA / Alpharetta HS"
2016,,Jack Harper,UTL,6-2,,,Fr.,"San Diego, CA / University City HS"
2016,,Calder Hilde-Jones,UTL,6-6,,,Fr.,"Stanford, Calif. / Henry M. Gunn HS"
2016,,John Tony Murphy,UTL,6-4,,,Fr.,"San Diego, CA / Grossmont HS"
2016,,Jack Ranj,UTL,6-3,,,Fr.,"San Diego, Calif. / Westview HS"
2017,1,Oleg Koujikov,GK,6-0,,,Sr.,"Mountain View, CA / Mountain View HS"
2017,1,Sam Thompson,GK,6-8,,,R-So.,"Villa Park, CA / Villa Park HS"
2017,1,Jack Turner,GK,6-7,,,Jr.,"Fremont, CA / Bellarmine College Prep"
2017,2,Skyler Munatones,UTL,5-10,,,So.,"Huntington Beach, CA / Huntington Beach HS"
2017,3,Ari Wayne,UTL,5-10,,,R-So.,"Palo Alto, CA / Henry M. Gunn HS"
2017,4,Kacper Langiewicz,UTL,6-4,,,R-So.,"San Marcos, CA / Mission Hills HS"
2017,5,Luka Vasiljevic,UTL,5-11,,,R-So.,"Mission Viejo, CA / Mission Viejo HS"
2017,6,Jack Ranj,UTL,6-3,,,So.,"San Diego, Calif. / Westview HS"
2017,7,Collin Sullivan,UTL,6-1,,,Jr.,"Escondido, CA / San Pasqual HS"
2017,8,Rich Farley,UTL,6-1,,,Sr.,"Vista, CA / Carlsbad HS"
2017,9,Kevin Asplund,UTL,6-3,,,Jr.,"San Jose, CA / Leland HS"
2017,10,Arman Momdzhyan,UTL,6-6,,,Sr.,"Glendale, CA / Anderson W. Clark Magnet HS"
2017,11,Connor Turnbow-Lindenstadt,UTL,5-11,,,Fr.,"Newport Beach, CA / Newport Harbor HS"
